comp,kind,lam,size
944,isolated_false,0.0,1
945,isolated_false,0.0,1
946,isolated_false,0.0,1
947,isolated_false,0.0,1
948,isolated_false,0.0,1
949,isolated_false,0.0,1
950,isolated_false,0.0,1
951,isolated_false,0.0,1
952,isolated_false,0.0,1
953,isolated_false,0.0,1
954,isolated_false,0.0,1
955,isolated_false,0.0,1
956,isolated_false,0.0,1
957,isolated_false,0.0,1
958,isolated_false,0.0,1
959,isolated_false,0.0,1
960,isolated_false,0.0,1
961,isolated_false,0.0,1
962,isolated_false,0.0,1
963,isolated_false,0.0,1
964,isolated_false,0.0,1
965,isolated_false,0.0,1
966,isolated_false,0.0,1
967,isolated_false,0.0,1
968,isolated_false,0.0,1
969,isolated_false,0.0,1
970,isolated_false,0.0,1
