solver,phi_max,sigma_scatt,n_trk,n_rep,n_valid,excluded_frac,density,eff,eff_sem,far,far_sem,pur,pur_sem,cos_QC
qsvt,0.2,0.0001,100,3,3,0.0,2499.9999999999995,100.0,0.0,0.0,0.0,100.0,0.0,0.9999978189579107
qsvt,0.2,0.0001,200,3,3,0.0,4999.999999999999,99.66666666666667,0.3333333333333333,0.0,0.0,100.0,0.0,0.9947649197630741
qsvt,0.2,0.0001,400,3,3,0.0,9999.999999999998,99.66666666666667,0.16666666666666669,0.0,0.0,100.0,0.0,0.9989869950434697
qsvt,0.2,0.0001,700,3,3,0.0,17499.999999999996,99.71428571428572,0.0,0.0,0.0,100.0,0.0,0.9986618409089307
qsvt,0.2,0.0001,1000,3,3,0.0,24999.999999999996,99.60000000000001,0.20816659994661393,0.0,0.0,100.0,0.0,0.9984947534097469
qsvt,0.2,0.0003,10,3,3,0.0,249.99999999999994,100.0,0.0,0.0,0.0,100.0,0.0,0.9999978189006492
qsvt,0.2,0.0003,20,3,3,0.0,499.9999999999999,100.0,0.0,0.0,0.0,100.0,0.0,0.9999978189136399
qsvt,0.2,0.0003,50,3,3,0.0,1249.9999999999998,100.0,0.0,0.0,0.0,100.0,0.0,0.9999978188631494
qsvt,0.2,0.0003,100,3,3,0.0,2499.9999999999995,100.0,0.0,0.0,0.0,100.0,0.0,0.9999978189307183
qsvt,0.2,0.0003,200,3,3,0.0,4999.999999999999,99.5,0.2886751345948129,0.0,0.0,100.0,0.0,0.9984841705960994
qsvt,0.2,0.0003,400,3,3,0.0,9999.999999999998,99.0,0.5204164998665332,0.0,0.0,100.0,0.0,0.993642146990036
qsvt,0.2,0.0003,700,3,3,0.0,17499.999999999996,97.47619047619048,0.46899322865695775,0.0,0.0,100.0,0.0,0.9863923131005395
qsvt,0.2,0.0003,1000,3,3,0.0,24999.999999999996,96.89999999999999,0.4163331998932279,0.0086692674469,0.008669267446900001,99.9913307325531,0.008669267446900145,0.9649979732378879
quantum,0.01,0.0001,10,3,3,0.0,100000.0,75.0,0.0,0.0,0.0,100.0,0.0,0.9666723510176481
quantum,0.01,0.0001,20,3,3,0.0,200000.0,75.0,0.0,0.0,0.0,100.0,0.0,0.9666723494758381
quantum,0.01,0.0001,50,3,3,0.0,500000.0,74.83333333333333,0.16666666666666669,0.22222222222222002,0.22222222222222004,99.77777777777777,0.22222222222222857,0.9664642719567157
quantum,0.01,0.0001,100,3,3,0.0,1000000.0,74.33333333333333,0.4166666666666667,5.960102999167806,1.4506476018528074,94.03989700083218,1.4506476018528105,0.9577219230474654
quantum,0.01,0.0001,200,3,3,0.0,2000000.0,72.58333333333333,0.2916666666666667,29.57619678039481,1.9740755085868755,70.42380321960518,1.9740755085868784,0.9643685458422318
quantum,0.01,0.0001,400,3,3,0.0,4000000.0,80.08333333333333,9.864995811510063,80.05145745864398,5.670849365527965,19.94854254135603,5.670849365527971,0.7776754806389815
quantum,0.01,0.0001,700,3,3,0.0,7000000.0,76.96428571428572,3.242731275090335,95.69037262429788,1.5608963031127336,4.30962737570211,1.5608963031127367,0.7921103679605443
quantum,0.01,0.0001,1000,3,1,0.6666666666666667,10000000.0,,,,,,,
quantum,0.01,0.0003,10,3,3,0.0,100000.0,73.33333333333333,0.8333333333333335,6.8253968253968225,5.247706430100488,93.17460317460318,5.247706430100489,0.9638891208935298
quantum,0.01,0.0003,20,3,3,0.0,200000.0,72.91666666666667,1.5023130314433288,13.67102396514161,1.618481259052681,86.3289760348584,1.6184812590526787,0.9621069397372047
quantum,0.01,0.0003,50,3,3,0.0,500000.0,71.66666666666667,0.881917103688197,30.515408038005962,1.230966371603883,69.48459196199404,1.2309663716038808,0.9600634506117167
quantum,0.01,0.0003,100,3,3,0.0,1000000.0,74.75,4.488411003165077,77.92880522095919,5.029612586913503,22.071194779040805,5.029612586913501,0.9010745563774701
quantum,0.01,0.0003,200,3,1,0.6666666666666667,2000000.0,,,,,,,
quantum,0.01,0.0003,400,3,0,1.0,4000000.0,,,,,,,
quantum,0.01,0.0003,700,3,0,1.0,7000000.0,,,,,,,
