sigma_res,sigma_scatt,n_trk,sol_key,event_key,ham_key,max_abs_x,excluded
0.0,0.0003,10,sol_42df198f2cc2cae5,ev_705ac78854c5,hm_a0f8ed47a107,0.4545454680919647,False
0.05,0.0005,100,sol_e6b5f7428c7af432,ev_70b0642c35c0,hm_af8fc4d5852f,0.9523463249206543,False
0.0,0.0001,700,sol_814f6ce36975fb3b,ev_70b2bbd835de,hm_a00ad2a2c52a,0.4545454680919647,False
0.01,0.0003,1000,sol_d31a9cd66abfaffb,ev_70ccd9af0876,hm_3298667cddaa,2.9836318492889404,False
0.05,0.0001,700,sol_3b4c4d8fe6a9126f,ev_70ef26a35ab6,hm_9108b6e19b67,1182.0,True
0.0,0.0005,400,sol_acf0664d44ffed2d,ev_70efb0af77e1,hm_7a9cff01f511,0.8094620704650879,False
0.01,0.0001,400,sol_bab67014b78d9779,ev_710eb2b46497,hm_844cdcf42c7e,1.0136809349060059,False
0.02,0.0005,200,sol_2ff2e02ef3aeb41f,ev_7149310f3eaa,hm_f442e5139114,1.0294612646102905,False
0.05,0.0005,400,sol_c0d2318980d0ee9a,ev_718c33991399,hm_af8fc4d5852f,19.999961853027344,False
0.02,0.0005,400,sol_5b281bd4929eadd6,ev_71b3888e9a0e,hm_f442e5139114,1.4523558616638184,False
0.05,0.0001,50,sol_1d9bf2d3e976674c,ev_71f7442ce8e3,hm_9108b6e19b67,0.5670039057731628,False
0.0,0.0003,200,sol_8dbd5476ddfed6c9,ev_720778d033d2,hm_a0f8ed47a107,0.6000000238418579,False
