hit_ineff,sigma_scatt,n_trk,sol_key,event_key,ham_key,max_abs_x,excluded
0.0,0.0005,50,sol_dfe0650f9495ccca,ev_e9928bc84dbd,hm_7a9cff01f511,0.566979706287384,False
0.01,0.0003,100,sol_8f6e3c2d519f0a8f,ev_e9956c5b8077,hm_a0f8ed47a107,0.45454463362693787,False
0.05,0.0003,10,sol_0d34d799c236e7d5,ev_e9a4c0d41e25,hm_a0f8ed47a107,0.4545454680919647,False
0.01,0.0007,50,sol_51053ebec19485ee,ev_e9b75b1a61f5,hm_b46918a75620,0.4545454680919647,False
0.01,0.0005,100,sol_b701519ba9582012,ev_e9c99f245509,hm_7a9cff01f511,0.5669714212417603,False
0.01,0.0001,50,sol_a7ac3d2645c33684,ev_e9d8b9613bb4,hm_a00ad2a2c52a,0.4545454680919647,False
0.01,0.0005,50,sol_ccf0816412664983,ev_e9ffac61653f,hm_7a9cff01f511,0.4545454680919647,False
0.1,0.0005,20,sol_2c80a1ac3b50398b,ev_ea3a536671df,hm_7a9cff01f511,0.4545454680919647,False
0.0,0.001,20,sol_2575863661e0f6f5,ev_ea40cc596b6d,hm_8de6b26636d5,0.4545454680919647,False
0.05,0.0005,50,sol_ccae81d2e917b5c7,ev_ea54164a7bc5,hm_7a9cff01f511,0.5669806003570557,False
0.1,0.0005,10,sol_abba0e434397ae0f,ev_ea6c039c0da5,hm_7a9cff01f511,0.4545454680919647,False
0.0,0.0003,20,sol_9a98a6113582669a,ev_ea6edfe0443e,hm_a0f8ed47a107,0.4545454680919647,False
0.01,0.0007,400,sol_bbbdf494b062ab6d,ev_eaa5caff8c1f,hm_b46918a75620,0.7303831577301025,False
0.1,0.0007,10,sol_7eebbc23912c0bb1,ev_eaaca69c7e99,hm_b46918a75620,0.4545454680919647,False
0.0,0.0003,400,sol_22c20f65979ff035,ev_eadb5b9537ea,hm_a0f8ed47a107,0.5995621085166931,False
0.0,0.001,20,sol_ab35a5646897fe37,ev_eadbb7759209,hm_8de6b26636d5,0.4545454680919647,False
0.0,0.001,20,sol_33de30a479d87073,ev_eaeea2c0760c,hm_8de6b26636d5,0.4545454680919647,False
0.01,0.001,400,sol_e1acfaa3dda1dccf,ev_eb0d80454bcf,hm_8de6b26636d5,1.192283272743225,False
0.05,0.001,400,sol_04cd751a34b8f025,ev_eb171393141e,hm_8de6b26636d5,0.8646603226661682,False
0.01,0.001,700,sol_b38f7b062f9cd5f4,ev_eb56d153aef9,hm_8de6b26636d5,1.10635507106781,False
0.0,0.0005,50,sol_f7ff4bc7d064c123,ev_eb591f86a42d,hm_7a9cff01f511,0.4545454680919647,False
0.0,0.0001,1000,sol_cac72b00931450bb,ev_eb6bce4b297c,hm_a00ad2a2c52a,0.4545399844646454,False
0.05,0.0003,1000,sol_02d4226a7a1c3490,ev_eb6d1a69994a,hm_a0f8ed47a107,0.8723786473274231,False
