T,rep,n_bins,eff,ghost,n_cand,t_ms
1000,4,512,0.952,0.0031413612565445,955,201.0200023651123
1000,4,1024,0.986,0.0010131712259371,987,273.7445831298828
1000,4,2048,0.994,0.0010050251256281,995,521.1522579193115
1000,5,64,0.068,0.2688172043010752,93,22.74799346923828
1000,5,128,0.348,0.1122448979591836,392,79.35523986816406
1000,5,256,0.71,0.0791180285343709,771,149.7938632965088
1000,5,512,0.893,0.0325027085590465,923,213.0060195922852
1000,5,1024,0.941,0.0136268343815513,954,310.0149631500244
1000,5,2048,0.563,0.024263431542461,577,580.2958011627197
1000,6,64,0.103,0.0636363636363636,110,25.87437629699707
1000,6,128,0.44,0.0222222222222222,450,90.50321578979492
1000,6,256,0.78,0.0237797246558197,799,157.64260292053223
1000,6,512,0.942,0.0094637223974763,951,216.79186820983887
1000,6,1024,0.976,0.0071210579857578,983,279.92820739746094
1000,6,2048,0.961,0.0031120331950207,964,539.4232273101807
1000,7,64,0.106,0.0,106,25.04754066467285
1000,7,128,0.462,0.0107066381156316,467,91.76421165466309
1000,7,256,0.826,0.002415458937198,828,162.35065460205078
1000,7,512,0.964,0.0020703933747412,966,203.8178443908692
1000,7,1024,0.995,0.0,995,270.49875259399414
1000,7,2048,0.998,0.0,998,525.6223678588867
1000,8,64,0.091,0.1875,112,25.374889373779297
1000,8,128,0.373,0.1076555023923445,418,80.85823059082031
1000,8,256,0.779,0.0441717791411042,815,153.61595153808594
1000,8,512,0.923,0.0180851063829787,940,208.6586952209473
1000,8,1024,0.947,0.0073375262054507,954,301.2526035308838
1000,8,2048,0.719,0.0041551246537396,722,562.2727870941162
1000,9,64,0.108,0.0181818181818181,110,25.606632232666016
1000,9,128,0.457,0.0021834061135371,458,89.52522277832031
1000,9,256,0.832,0.005973715651135,837,161.2405776977539
1000,9,512,0.955,0.0031315240083507,958,210.84022521972656
1000,9,1024,0.989,0.0,989,291.6193008422852
1000,9,2048,0.996,0.0010030090270812,997,522.6325988769531
