regime,phi_max,n_tracks,repeat,epsilon,n_true,n_false,true_accepted,false_accepted,seg_efficiency,seg_false_rate
dense,0.02,55,11,2.121324586196087e-05,165,498960,165,0,1.0,0.0
dense,0.02,55,12,2.121324586196087e-05,165,498960,165,0,1.0,0.0
dense,0.02,55,13,2.121324586196087e-05,165,498960,165,0,1.0,0.0
dense,0.02,55,14,2.121324586196087e-05,165,498960,165,0,1.0,0.0
dense,0.02,55,15,2.121324586196087e-05,165,498960,165,0,1.0,0.0
dense,0.02,55,16,2.121324586196087e-05,165,498960,165,0,1.0,0.0
dense,0.02,55,17,2.121324586196087e-05,165,498960,165,0,1.0,0.0
dense,0.02,55,18,2.121324586196087e-05,165,498960,165,0,1.0,0.0
dense,0.02,55,19,2.121324586196087e-05,165,498960,165,0,1.0,0.0
dense,0.02,60,0,2.121324586196087e-05,180,647820,180,0,1.0,0.0
dense,0.02,60,1,2.121324586196087e-05,180,647820,180,0,1.0,0.0
dense,0.02,60,2,2.121324586196087e-05,180,647820,180,0,1.0,0.0
dense,0.02,60,3,2.121324586196087e-05,180,647820,180,0,1.0,0.0
dense,0.02,60,4,2.121324586196087e-05,180,647820,180,0,1.0,0.0
dense,0.02,60,5,2.121324586196087e-05,180,647820,180,0,1.0,0.0
dense,0.02,60,6,2.121324586196087e-05,180,647820,180,0,1.0,0.0
dense,0.02,60,7,2.121324586196087e-05,180,647820,180,0,1.0,0.0
dense,0.02,60,8,2.121324586196087e-05,180,647820,180,0,1.0,0.0
dense,0.02,60,9,2.121324586196087e-05,180,647820,180,0,1.0,0.0
dense,0.02,60,10,2.121324586196087e-05,180,647820,180,0,1.0,0.0
dense,0.02,60,11,2.121324586196087e-05,180,647820,180,0,1.0,0.0
dense,0.02,60,12,2.121324586196087e-05,180,647820,180,0,1.0,0.0
dense,0.02,60,13,2.121324586196087e-05,180,647820,180,0,1.0,0.0
dense,0.02,60,14,2.121324586196087e-05,180,647820,180,0,1.0,0.0
dense,0.02,60,15,2.121324586196087e-05,180,647820,180,0,1.0,0.0
dense,0.02,60,16,2.121324586196087e-05,180,647820,180,0,1.0,0.0
dense,0.02,60,17,2.121324586196087e-05,180,647820,180,0,1.0,0.0
dense,0.02,60,18,2.121324586196087e-05,180,647820,180,0,1.0,0.0
dense,0.02,60,19,2.121324586196087e-05,180,647820,180,0,1.0,0.0
dense,0.02,65,0,2.121324586196087e-05,195,823680,195,0,1.0,0.0
dense,0.02,65,1,2.121324586196087e-05,195,823680,195,0,1.0,0.0
dense,0.02,65,2,2.121324586196087e-05,195,823680,195,0,1.0,0.0
dense,0.02,65,3,2.121324586196087e-05,195,823680,195,0,1.0,0.0
dense,0.02,65,4,2.121324586196087e-05,195,823680,195,0,1.0,0.0
dense,0.02,65,5,2.121324586196087e-05,195,823680,195,0,1.0,0.0
dense,0.02,65,6,2.121324586196087e-05,195,823680,195,0,1.0,0.0
dense,0.02,65,7,2.121324586196087e-05,195,823680,195,0,1.0,0.0
dense,0.02,65,8,2.121324586196087e-05,195,823680,195,0,1.0,0.0
dense,0.02,65,9,2.121324586196087e-05,195,823680,195,0,1.0,0.0
dense,0.02,65,10,2.121324586196087e-05,195,823680,195,0,1.0,0.0
dense,0.02,65,11,2.121324586196087e-05,195,823680,195,0,1.0,0.0
dense,0.02,65,12,2.121324586196087e-05,195,823680,195,0,1.0,0.0
dense,0.02,65,13,2.121324586196087e-05,195,823680,195,0,1.0,0.0
dense,0.02,65,14,2.121324586196087e-05,195,823680,195,0,1.0,0.0
dense,0.02,65,15,2.121324586196087e-05,195,823680,195,0,1.0,0.0
dense,0.02,65,16,2.121324586196087e-05,195,823680,195,0,1.0,0.0
dense,0.02,65,17,2.121324586196087e-05,195,823680,195,0,1.0,0.0
dense,0.02,65,18,2.121324586196087e-05,195,823680,195,0,1.0,0.0
dense,0.02,65,19,2.121324586196087e-05,195,823680,195,0,1.0,0.0
dense,0.02,70,0,2.121324586196087e-05,210,1028790,210,0,1.0,0.0
dense,0.02,70,1,2.121324586196087e-05,210,1028790,210,0,1.0,0.0
dense,0.02,70,2,2.121324586196087e-05,210,1028790,210,0,1.0,0.0
dense,0.02,70,3,2.121324586196087e-05,210,1028790,210,0,1.0,0.0
dense,0.02,70,4,2.121324586196087e-05,210,1028790,210,0,1.0,0.0
dense,0.02,70,5,2.121324586196087e-05,210,1028790,210,0,1.0,0.0
dense,0.02,70,6,2.121324586196087e-05,210,1028790,210,0,1.0,0.0
dense,0.02,70,7,2.121324586196087e-05,210,1028790,210,0,1.0,0.0
dense,0.02,70,8,2.121324586196087e-05,210,1028790,210,0,1.0,0.0
dense,0.02,70,9,2.121324586196087e-05,210,1028790,210,0,1.0,0.0
dense,0.02,70,10,2.121324586196087e-05,210,1028790,210,0,1.0,0.0
dense,0.02,70,11,2.121324586196087e-05,210,1028790,210,0,1.0,0.0
dense,0.02,70,12,2.121324586196087e-05,210,1028790,210,0,1.0,0.0
dense,0.02,70,13,2.121324586196087e-05,210,1028790,210,0,1.0,0.0
dense,0.02,70,14,2.121324586196087e-05,210,1028790,210,0,1.0,0.0
dense,0.02,70,15,2.121324586196087e-05,210,1028790,210,0,1.0,0.0
dense,0.02,70,16,2.121324586196087e-05,210,1028790,210,0,1.0,0.0
